datetime,baseline,e,n,u,distance_m,nominal_distance_m,q,ns,status
04/09/2026 13:03:15.000,5000-5001,0.2626,0.1052,0.0115,0.2831,0.28,1,14,normal
04/09/2026 13:03:15.000,5000-5002,-0.2623,-0.078,0.0172,0.2742,0.28,1,14,normal
04/09/2026 13:03:16.000,5000-5001,0.263,0.1049,0.0113,0.2834,0.28,1,14,normal
04/09/2026 13:03:16.000,5000-5002,-0.2623,-0.0788,0.0208,0.2747,0.28,1,14,normal
04/09/2026 13:03:17.000,5000-5002,-0.2628,-0.0802,0.0177,0.2753,0.28,1,14,normal
04/09/2026 13:03:17.000,5000-5001,0.2624,0.1029,0.0084,0.282,0.28,1,14,normal
04/09/2026 13:03:18.000,5000-5001,0.2617,0.1022,0.0082,0.2811,0.28,1,14,normal
04/09/2026 13:03:18.000,5000-5002,-0.2623,-0.0798,0.0198,0.2749,0.28,1,14,normal
04/09/2026 13:03:19.000,5000-5002,-0.2617,-0.0811,0.0199,0.2747,0.28,1,14,normal
04/09/2026 13:03:19.000,5000-5001,0.2634,0.1024,0.0107,0.2828,0.28,1,14,normal
04/09/2026 13:03:20.000,5000-5001,0.2618,0.1022,0.0097,0.2812,0.28,1,14,normal
04/09/2026 13:03:20.000,5000-5002,-0.2619,-0.0812,0.0178,0.2748,0.28,1,14,normal
04/09/2026 13:03:21.000,5000-5001,0.261,0.1042,0.0096,0.2812,0.28,1,14,normal
04/09/2026 13:03:21.000,5000-5002,-0.2616,-0.0797,0.0172,0.274,0.28,1,14,normal
04/09/2026 13:03:22.000,5000-5001,0.2615,0.1038,0.0099,0.2815,0.28,1,14,normal
04/09/2026 13:03:22.000,5000-5002,-0.2619,-0.0792,0.0204,0.2744,0.28,1,14,normal
04/09/2026 13:03:23.000,5000-5001,0.2623,0.1031,0.0093,0.282,0.28,1,14,normal
04/09/2026 13:03:23.000,5000-5002,-0.2621,-0.0805,0.0184,0.2748,0.28,1,14,normal
04/09/2026 13:03:24.000,5000-5002,-0.2607,-0.0798,0.0205,0.2734,0.28,1,14,normal
04/09/2026 13:03:24.000,5000-5001,0.2631,0.1056,0.008,0.2836,0.28,1,14,normal
04/09/2026 13:03:25.000,5000-5001,0.2619,0.1036,0.0062,0.2817,0.28,1,14,normal
04/09/2026 13:03:25.000,5000-5002,-0.2639,-0.08,0.0153,0.2762,0.28,1,14,normal
04/09/2026 13:03:26.000,5000-5001,0.2638,0.1048,0.0098,0.284,0.28,1,14,normal
04/09/2026 13:03:26.000,5000-5002,-0.2614,-0.0785,0.02,0.2737,0.28,1,14,normal
04/09/2026 13:03:27.000,5000-5002,-0.2621,-0.0797,0.0167,0.2745,0.28,1,14,normal
04/09/2026 13:03:27.000,5000-5001,0.2621,0.1027,0.0083,0.2816,0.28,1,14,normal
04/09/2026 13:03:28.000,5000-5002,-0.2619,-0.0808,0.0132,0.2744,0.28,1,14,normal
04/09/2026 13:03:28.000,5000-5001,0.263,0.1026,0.0072,0.2824,0.28,1,14,normal
04/09/2026 13:03:29.000,5000-5002,-0.2625,-0.0816,0.0165,0.2754,0.28,1,14,normal
04/09/2026 13:03:29.000,5000-5001,0.263,0.1028,0.0068,0.2825,0.28,1,14,normal
04/09/2026 13:03:30.000,5000-5001,0.2632,0.105,0.0121,0.2836,0.28,1,14,normal
04/09/2026 13:03:30.000,5000-5002,-0.2621,-0.0802,0.018,0.2747,0.28,1,14,normal
04/09/2026 13:03:31.000,5000-5001,0.2635,0.1028,0.0112,0.2831,0.28,1,14,normal
04/09/2026 13:03:31.000,5000-5002,-0.2622,-0.0799,0.0207,0.2749,0.28,1,14,normal
04/09/2026 13:03:32.000,5000-5001,0.2638,0.1031,0.0111,0.2834,0.28,1,14,normal
04/09/2026 13:03:32.000,5000-5002,-0.2619,-0.0806,0.0212,0.2748,0.28,1,14,normal
04/09/2026 13:03:33.000,5000-5002,-0.2617,-0.0788,0.018,0.2739,0.28,1,14,normal
04/09/2026 13:03:33.000,5000-5001,0.2632,0.1044,0.0081,0.2833,0.28,1,14,normal
04/09/2026 13:03:34.000,5000-5002,-0.2607,-0.0795,0.0185,0.2732,0.28,1,14,normal
04/09/2026 13:03:34.000,5000-5001,0.2642,0.1047,0.0089,0.2843,0.28,1,14,normal
04/09/2026 13:03:35.000,5000-5002,-0.2618,-0.0781,0.0179,0.2738,0.28,1,14,normal
04/09/2026 13:03:35.000,5000-5001,0.2631,0.1037,0.0107,0.283,0.28,1,14,normal
04/09/2026 13:03:36.000,5000-5001,0.2633,0.1039,0.0085,0.2832,0.28,1,14,normal
04/09/2026 13:03:36.000,5000-5002,-0.2615,-0.0804,0.018,0.2742,0.28,1,14,normal
04/09/2026 13:03:37.000,5000-5001,0.2628,0.1038,0.0075,0.2827,0.28,1,14,normal
04/09/2026 13:03:37.000,5000-5002,-0.2623,-0.0787,0.0175,0.2744,0.28,1,14,normal
04/09/2026 13:03:38.000,5000-5002,-0.2611,-0.0776,0.0174,0.2729,0.28,1,14,normal
04/09/2026 13:03:38.000,5000-5001,0.2636,0.1058,0.0104,0.2842,0.28,1,14,normal
04/09/2026 13:03:39.000,5000-5002,-0.2609,-0.0792,0.0195,0.2734,0.28,1,14,normal
04/09/2026 13:03:39.000,5000-5001,0.2644,0.1047,0.0112,0.2846,0.28,1,14,normal
04/09/2026 13:03:40.000,5000-5002,-0.2605,-0.0796,0.0201,0.2731,0.28,1,14,normal
04/09/2026 13:03:40.000,5000-5001,0.2649,0.1028,0.0095,0.2843,0.28,1,14,normal
04/09/2026 13:03:41.000,5000-5001,0.2636,0.1019,0.0127,0.2829,0.28,1,14,normal
04/09/2026 13:03:41.000,5000-5002,-0.2614,-0.0813,0.0201,0.2745,0.28,1,14,normal
04/09/2026 13:03:42.000,5000-5002,-0.26,-0.0796,0.0222,0.2728,0.28,1,14,normal
04/09/2026 13:03:42.000,5000-5001,0.2638,0.1035,0.0132,0.2837,0.28,1,14,normal
04/09/2026 13:03:43.000,5000-5001,0.2627,0.1027,0.0113,0.2823,0.28,1,14,normal
04/09/2026 13:03:43.000,5000-5002,-0.2631,-0.0791,0.0206,0.2755,0.28,1,14,normal
04/09/2026 13:03:44.000,5000-5001,0.2637,0.1029,0.0087,0.2832,0.28,1,14,normal
04/09/2026 13:03:44.000,5000-5002,-0.2621,-0.0802,0.0179,0.2747,0.28,1,14,normal
04/09/2026 13:03:45.000,5000-5002,-0.2624,-0.0792,0.0168,0.2746,0.28,1,14,normal
04/09/2026 13:03:45.000,5000-5001,0.2634,0.1026,0.0066,0.2828,0.28,1,14,normal
04/09/2026 13:03:46.000,5000-5001,0.2627,0.1043,0.008,0.2828,0.28,1,14,normal
04/09/2026 13:03:46.000,5000-5002,-0.2616,-0.0775,0.0166,0.2733,0.28,1,14,normal
04/09/2026 13:03:47.000,5000-5001,0.2634,0.1037,0.0075,0.2832,0.28,1,14,normal
04/09/2026 13:03:47.000,5000-5002,-0.2619,-0.0795,0.016,0.2742,0.28,1,14,normal
04/09/2026 13:03:48.000,5000-5001,0.2622,0.1047,0.0109,0.2825,0.28,1,14,normal
04/09/2026 13:03:48.000,5000-5002,-0.2621,-0.0785,0.0174,0.2742,0.28,1,14,normal
04/09/2026 13:03:49.000,5000-5002,-0.2617,-0.0802,0.0169,0.2742,0.28,1,14,normal
04/09/2026 13:03:49.000,5000-5001,0.2635,0.1019,0.0085,0.2826,0.28,1,14,normal
04/09/2026 13:03:50.000,5000-5002,-0.2614,-0.0798,0.0193,0.274,0.28,1,14,normal
04/09/2026 13:03:50.000,5000-5001,0.2629,0.102,0.0085,0.2821,0.28,1,14,normal
04/09/2026 13:03:51.000,5000-5002,-0.2617,-0.0782,0.017,0.2737,0.28,1,14,normal
04/09/2026 13:03:51.000,5000-5001,0.2641,0.1042,0.0104,0.2841,0.28,1,14,normal
04/09/2026 13:03:52.000,5000-5002,-0.2601,-0.0779,0.0221,0.2724,0.28,1,14,normal
04/09/2026 13:03:52.000,5000-5001,0.2635,0.1039,0.01,0.2834,0.28,1,14,normal
04/09/2026 13:03:53.000,5000-5002,-0.2614,-0.0793,0.016,0.2736,0.28,1,14,normal
04/09/2026 13:03:53.000,5000-5001,0.2626,0.103,0.0081,0.2822,0.28,1,14,normal
04/09/2026 13:03:54.000,5000-5001,0.2631,0.1039,0.0119,0.2831,0.28,1,14,normal
04/09/2026 13:03:54.000,5000-5002,-0.2613,-0.0771,0.0199,0.2732,0.28,1,14,normal
04/09/2026 13:03:55.000,5000-5002,-0.2638,-0.0807,0.0195,0.2766,0.28,1,14,normal
04/09/2026 13:03:55.000,5000-5001,0.2606,0.102,0.01,0.28,0.28,1,14,normal
04/09/2026 13:03:56.000,5000-5001,0.2643,0.1043,0.0107,0.2843,0.28,1,14,normal
04/09/2026 13:03:56.000,5000-5002,-0.2607,-0.0788,0.0193,0.273,0.28,1,14,normal
04/09/2026 13:03:57.000,5000-5001,0.2649,0.1046,0.0102,0.285,0.28,1,14,normal
04/09/2026 13:03:57.000,5000-5002,-0.2604,-0.0789,0.0188,0.2727,0.28,1,14,normal
04/09/2026 13:03:58.000,5000-5001,0.2634,0.1037,0.0088,0.2832,0.28,1,14,normal
04/09/2026 13:03:58.000,5000-5002,-0.2623,-0.0791,0.0168,0.2745,0.28,1,14,normal
04/09/2026 13:03:59.000,5000-5001,0.2637,0.1024,0.0109,0.2831,0.28,1,14,normal
04/09/2026 13:03:59.000,5000-5002,-0.2612,-0.08,0.0201,0.2739,0.28,1,14,normal
04/09/2026 13:04:00.000,5000-5002,-0.2633,-0.0803,0.019,0.2759,0.28,1,14,normal
04/09/2026 13:04:00.000,5000-5001,0.2629,0.1012,0.0072,0.2818,0.28,1,14,normal
04/09/2026 13:04:01.000,5000-5001,0.2626,0.1029,0.0091,0.2822,0.28,1,14,normal
04/09/2026 13:04:01.000,5000-5002,-0.2611,-0.0795,0.0174,0.2735,0.28,1,14,normal
04/09/2026 13:04:02.000,5000-5001,0.2625,0.1034,0.0133,0.2824,0.28,1,14,normal
