datetime,latitude,longitude,altitude,receiver
24/08/2026 13:42,54.5801778,-5.9359867,0,143.117.216.46:5002
24/08/2026 13:42,54.5801778,-5.9359867,78.8,143.117.216.46:5002
24/08/2026 13:42,54.580183,-5.9359732,0,143.117.216.46:5001
24/08/2026 13:42,54.580183,-5.9359732,77.1,143.117.216.46:5001
24/08/2026 13:42,54.5801807,-5.9359745,0,143.117.216.46:5000
24/08/2026 13:42,54.5801778,-5.9359867,0,143.117.216.46:5002
24/08/2026 13:42,54.5801778,-5.9359867,78.8,143.117.216.46:5002
24/08/2026 13:42,54.580183,-5.9359732,0,143.117.216.46:5001
24/08/2026 13:42,54.580183,-5.9359732,77.1,143.117.216.46:5001
24/08/2026 13:42,54.5801805,-5.9359745,0,143.117.216.46:5000
24/08/2026 13:42,54.5801778,-5.9359865,0,143.117.216.46:5002
24/08/2026 13:42,54.5801778,-5.9359865,78.8,143.117.216.46:5002
24/08/2026 13:42,54.580183,-5.9359732,0,143.117.216.46:5001
24/08/2026 13:42,54.580183,-5.9359732,77.1,143.117.216.46:5001
24/08/2026 13:42,54.5801805,-5.9359745,0,143.117.216.46:5000
24/08/2026 13:42,54.580183,-5.9359732,0,143.117.216.46:5001
24/08/2026 13:42,54.580183,-5.9359732,77.1,143.117.216.46:5001
24/08/2026 13:42,54.5801778,-5.9359863,0,143.117.216.46:5002
24/08/2026 13:42,54.5801778,-5.9359863,78.8,143.117.216.46:5002
24/08/2026 13:42,54.5801805,-5.9359745,0,143.117.216.46:5000
24/08/2026 13:42,54.5801832,-5.9359732,0,143.117.216.46:5001
24/08/2026 13:42,54.5801832,-5.9359732,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801778,-5.9359862,0,143.117.216.46:5002
24/08/2026 13:42,54.5801778,-5.9359862,78.8,143.117.216.46:5002
24/08/2026 13:42,54.5801805,-5.9359745,0,143.117.216.46:5000
24/08/2026 13:42,54.5801832,-5.9359733,0,143.117.216.46:5001
24/08/2026 13:42,54.5801832,-5.9359733,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801778,-5.935986,0,143.117.216.46:5002
24/08/2026 13:42,54.5801778,-5.935986,78.8,143.117.216.46:5002
24/08/2026 13:42,54.5801807,-5.9359745,0,143.117.216.46:5000
24/08/2026 13:42,54.5801778,-5.935986,0,143.117.216.46:5002
24/08/2026 13:42,54.5801778,-5.935986,78.8,143.117.216.46:5002
24/08/2026 13:42,54.5801833,-5.9359733,0,143.117.216.46:5001
24/08/2026 13:42,54.5801833,-5.9359733,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801807,-5.9359745,0,143.117.216.46:5000
24/08/2026 13:42,54.580178,-5.9359858,0,143.117.216.46:5002
24/08/2026 13:42,54.580178,-5.9359858,78.8,143.117.216.46:5002
24/08/2026 13:42,54.5801835,-5.9359735,0,143.117.216.46:5001
24/08/2026 13:42,54.5801835,-5.9359735,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801807,-5.9359745,0,143.117.216.46:5000
24/08/2026 13:42,54.580178,-5.9359857,0,143.117.216.46:5002
24/08/2026 13:42,54.580178,-5.9359857,78.8,143.117.216.46:5002
24/08/2026 13:42,54.5801837,-5.9359735,0,143.117.216.46:5001
24/08/2026 13:42,54.5801837,-5.9359735,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801807,-5.9359747,0,143.117.216.46:5000
24/08/2026 13:42,54.5801782,-5.9359857,0,143.117.216.46:5002
24/08/2026 13:42,54.5801782,-5.9359857,78.7,143.117.216.46:5002
24/08/2026 13:42,54.5801838,-5.9359737,0,143.117.216.46:5001
24/08/2026 13:42,54.5801838,-5.9359737,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801807,-5.9359747,0,143.117.216.46:5000
24/08/2026 13:42,54.580184,-5.9359737,0,143.117.216.46:5001
24/08/2026 13:42,54.580184,-5.9359737,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801782,-5.9359857,0,143.117.216.46:5002
24/08/2026 13:42,54.5801782,-5.9359857,78.7,143.117.216.46:5002
24/08/2026 13:42,54.5801807,-5.9359747,0,143.117.216.46:5000
24/08/2026 13:42,54.5801783,-5.9359855,0,143.117.216.46:5002
24/08/2026 13:42,54.5801783,-5.9359855,78.7,143.117.216.46:5002
24/08/2026 13:42,54.5801842,-5.9359735,0,143.117.216.46:5001
24/08/2026 13:42,54.5801842,-5.9359735,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801807,-5.9359747,0,143.117.216.46:5000
24/08/2026 13:42,54.5801783,-5.9359855,0,143.117.216.46:5002
24/08/2026 13:42,54.5801783,-5.9359855,78.7,143.117.216.46:5002
24/08/2026 13:42,54.5801842,-5.9359735,0,143.117.216.46:5001
24/08/2026 13:42,54.5801842,-5.9359735,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801807,-5.9359748,0,143.117.216.46:5000
24/08/2026 13:42,54.5801843,-5.9359735,0,143.117.216.46:5001
24/08/2026 13:42,54.5801843,-5.9359735,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801783,-5.9359855,0,143.117.216.46:5002
24/08/2026 13:42,54.5801783,-5.9359855,78.7,143.117.216.46:5002
24/08/2026 13:42,54.5801807,-5.935975,0,143.117.216.46:5000
24/08/2026 13:42,54.5801843,-5.9359735,0,143.117.216.46:5001
24/08/2026 13:42,54.5801843,-5.9359735,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801785,-5.9359855,0,143.117.216.46:5002
24/08/2026 13:42,54.5801785,-5.9359855,78.7,143.117.216.46:5002
24/08/2026 13:42,54.5801807,-5.935975,0,143.117.216.46:5000
24/08/2026 13:42,54.5801845,-5.9359735,0,143.117.216.46:5001
24/08/2026 13:42,54.5801845,-5.9359735,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801785,-5.9359853,0,143.117.216.46:5002
24/08/2026 13:42,54.5801785,-5.9359853,78.7,143.117.216.46:5002
24/08/2026 13:42,54.5801807,-5.935975,0,143.117.216.46:5000
24/08/2026 13:42,54.5801845,-5.9359735,0,143.117.216.46:5001
24/08/2026 13:42,54.5801845,-5.9359735,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801787,-5.9359853,0,143.117.216.46:5002
24/08/2026 13:42,54.5801787,-5.9359853,78.7,143.117.216.46:5002
24/08/2026 13:42,54.5801807,-5.9359752,0,143.117.216.46:5000
24/08/2026 13:42,54.5801847,-5.9359735,0,143.117.216.46:5001
24/08/2026 13:42,54.5801847,-5.9359735,77.2,143.117.216.46:5001
24/08/2026 13:42,54.5801787,-5.9359852,0,143.117.216.46:5002
24/08/2026 13:42,54.5801787,-5.9359852,78.6,143.117.216.46:5002
